No.,Time,Source,Destination,Protocol,Length,Source,Destination,,,,,
8955,4.116901,3476974057,2203667416,10,70,207.62.105.233,131.89.75.216,,,,,
8956,4.116908,3476974057,2203667416,10,70,207.62.105.233,131.89.75.216,,,,,
8957,4.117014,3476974057,2203667416,10,305,207.62.105.233,131.89.75.216,,,,,
8958,4.117052,3308263953,3296060531,11,64,197.48.26.17,196.117.228.115,,,,,
8959,4.117409,2203648514,3308263953,4,74,131.89.2.2,197.48.26.17,,,,,
8960,4.117442,2203664931,3375374709,10,102,131.89.66.35,201.48.33.117,,,,,
8961,4.117452,2203667416,3476974057,10,70,131.89.75.216,207.62.105.233,,,,,
8962,4.117802,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8963,4.122005,3579350585,3296060491,10,1518,213.88.142.57,196.117.228.75,,,,,
8964,4.123198,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8965,4.124233,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8966,4.12483,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8967,4.125276,2203667416,3643770090,10,689,131.89.75.216,217.47.132.234,,,,,
8968,4.125589,3365046429,2203689291,10,1038,200.146.136.157,131.89.161.75,,,,,
8969,4.125673,3375374709,2203664931,10,107,201.48.33.117,131.89.66.35,,,,,
8970,4.125871,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8971,4.126146,2203664931,3375374709,10,108,131.89.66.35,201.48.33.117,,,,,
8972,4.127275,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8973,4.128315,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8974,4.128534,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8975,4.128911,2203667416,3301181571,10,78,131.89.75.216,196.196.8.131,,,,,
8976,4.129564,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8977,4.129856,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8978,4.130122,3643796969,2203709475,10,553,217.47.237.233,131.89.240.35,,,,,
8979,4.130168,3643427031,2203667408,10,64,217.42.72.215,131.89.75.208,,,,,
8980,4.130643,2203711357,1515783243,10,118,131.89.247.125,90.89.4.75,,,,,
